=== readerc(1).zar ===
mm13_lib.rdr: lists=17 depth=4 bad_strings=0
mm15_lib.rdr: lists=17 depth=4 bad_strings=0
mm16_lib.rdr: lists=17 depth=4 bad_strings=0
mm17_lib.rdr: lists=17 depth=4 bad_strings=0
mm19_lib.rdr: lists=17 depth=4 bad_strings=0
mm21_lib.rdr: lists=17 depth=4 bad_strings=0
test_lib.rdr: lists=167 depth=4 bad_strings=0
ui_lib.rdr: lists=523 depth=5 bad_strings=0
ui2d_lib.rdr: lists=212 depth=4 bad_strings=0
uici_lib.rdr: lists=347 depth=4 bad_strings=0
uimp_lib.rdr: lists=172 depth=4 bad_strings=0
uisk_lib.rdr: lists=37 depth=4 bad_strings=0
wsmp_lib.rdr: lists=217 depth=4 bad_strings=0
wssp_lib.rdr: lists=182 depth=4 bad_strings=0
uibf_lib.rdr: lists=142 depth=4 bad_strings=0
uiop_lib.rdr: lists=62 depth=4 bad_strings=0
validated 51 RDR leaves; bad string cells=0

=== readerm(4).zar ===
aimaps.rdr: lists=11 depth=4 bad_strings=0
chartype.rdr: lists=38 depth=4 bad_strings=0
clutter.rdr: lists=141 depth=4 bad_strings=0
dyntex.rdr: lists=3 depth=2 bad_strings=0
layers.rdr: lists=8 depth=4 bad_strings=0
mission.rdr: lists=142 depth=4 bad_strings=0
mp10.rdr: lists=291 depth=5 bad_strings=0
valves.rdr: lists=33 depth=4 bad_strings=0
mp10_lib.rdr: lists=320 depth=5 bad_strings=0
vehicles.rdr: lists=28 depth=4 bad_strings=0
validated 10 RDR leaves; bad string cells=0

=== readerm.zar ===
aimaps.rdr: lists=17 depth=4 bad_strings=0
chartype.rdr: lists=38 depth=4 bad_strings=0
clutter.rdr: lists=44 depth=4 bad_strings=0
dyntex.rdr: lists=3 depth=2 bad_strings=0
layers.rdr: lists=8 depth=4 bad_strings=0
lensflare.rdr: lists=16 depth=2 bad_strings=0
map.rdr: lists=6 depth=2 bad_strings=0
mission.rdr: lists=142 depth=4 bad_strings=0
mp11.rdr: lists=209 depth=5 bad_strings=0
valves.rdr: lists=33 depth=4 bad_strings=0
mp11_lib.rdr: lists=220 depth=5 bad_strings=0
vehicles.rdr: lists=28 depth=4 bad_strings=0
validated 12 RDR leaves; bad string cells=0

=== readerx.zar ===
dlgExitState.rdr: lists=828 depth=9 bad_strings=0
dlgMultiplayerFinal.rdr: lists=1013 depth=9 bad_strings=0
dlgMultiplayerFinalReally.rdr: lists=1441 depth=9 bad_strings=0
dlgMultiplayerRound.rdr: lists=1011 depth=9 bad_strings=0
fonts.rdr: lists=2221 depth=6 bad_strings=0
validated 5 RDR leaves; bad string cells=0

